,Height,ConTime,Txs,TotalTime,NonConTime,Throughput
0,1.0,103.141555,1198.0,873.65121,770.509655,350.0803190220846
1,2.0,3612.77709,1199.0,4350.942404,738.1653140000003,0.0
2,3.0,3528.759819,1199.0,4003.744844,474.98502499999995,0.0
3,4.0,3715.06531,1200.0,4434.696969,719.6316589999997,0.0
4,5.0,3815.961786,1201.0,4600.487769,784.5259830000005,0.0
5,6.0,100.540072,1201.0,4275.55721,4175.017138,0.0
6,7.0,417.955185,1202.0,907.468952,489.513767,0.0
7,8.0,402.012364,1202.0,1098.054537,696.042173,0.0
8,9.0,6825.05798,1203.0,7562.019236,736.9612560000005,0.0
9,10.0,3512.300033,1204.0,4282.334483,770.0344499999997,0.0
10,11.0,417.47772,1204.0,890.049678,472.571958,0.0
11,12.0,4215.2356,1205.0,4981.92992,766.6943199999996,0.0
12,13.0,404.03019,1205.0,1177.528705,773.498515,0.0
13,14.0,4317.708364,1206.0,5080.838318,763.129954,0.0
14,15.0,417.633097,1207.0,895.606534,477.973437,0.0
15,16.0,3715.316122,1207.0,4471.924261,756.6081389999999,0.0
16,17.0,3816.071519,1208.0,4531.187603,715.1160840000002,0.0
