,Height,ConTime,Txs,TotalTime,NonConTime,Throughput
0,1.0,402.526029,1198.0,1176.201214,773.6751849999999,356.62953557472326
1,2.0,3615.532663,1199.0,4349.366893,733.8342300000004,0.0
2,3.0,3513.523262,1199.0,4251.659274,738.1360119999995,0.0
3,4.0,3430.625366,1200.0,3896.174995,465.54962899999964,0.0
4,5.0,4017.097501,1201.0,4830.485948,813.3884469999994,0.0
5,6.0,101.362757,1201.0,862.134024,760.771267,0.0
6,7.0,3915.330885,1202.0,4650.498299,735.167414,0.0
7,8.0,116.746069,1202.0,3562.877362,3446.1312930000004,0.0
8,9.0,4015.772109,1203.0,4762.672326,746.9002169999999,0.0
9,10.0,3614.365861,1204.0,9051.04529,5436.679429,0.0
10,11.0,415.410885,1205.0,448.60772,33.196834999999965,0.0
11,12.0,704.362157,1205.0,466.457677,-237.90448000000004,0.0
12,13.0,802.49885,1206.0,4895.88944,4093.39059,0.0
13,14.0,502.056563,1207.0,1584.095353,1082.03879,0.0
14,15.0,3431.285676,1207.0,1239.554915,-2191.730761,0.0
15,16.0,4117.307795,1208.0,3941.449179,-175.85861599999953,0.0
