,Height,ConTime,Txs,TotalTime,NonConTime,Throughput
0,1.0,302.074123,399.0,1070.425908,768.351785,379.4108202869011
1,2.0,102.636641,399.0,560.176657,457.540016,0.0
2,3.0,506.841152,399.0,986.215446,479.374294,0.0
3,4.0,403.379632,400.0,857.32409,453.94445799999994,0.0
4,5.0,502.849123,400.0,1044.593525,541.744402,0.0
5,6.0,237.107391,400.0,523.373915,286.266524,0.0
6,7.0,602.839256,400.0,1519.159274,916.3200180000001,0.0
7,8.0,101.8283,400.0,911.281046,809.4527459999999,0.0
8,9.0,1.40879,401.0,1222.477416,1221.068626,0.0
9,10.0,302.62807,401.0,884.189812,581.561742,0.0
10,11.0,302.137675,401.0,830.32653,528.1888550000001,0.0
11,12.0,402.464346,401.0,1078.576565,676.1122190000001,0.0
12,13.0,101.418021,401.0,851.606662,750.1886410000001,0.0
13,14.0,202.791597,402.0,718.371516,515.579919,0.0
14,15.0,403.160407,402.0,1104.257836,701.0974289999999,0.0
15,16.0,303.155929,402.0,1282.16541,979.009481,0.0
16,17.0,302.153499,402.0,1008.236117,706.082618,0.0
17,18.0,224.993807,402.0,550.325434,325.33162699999997,0.0
18,19.0,602.923017,403.0,1440.771766,837.8487490000001,0.0
19,20.0,206.37031,403.0,873.727168,667.356858,0.0
20,21.0,102.266706,403.0,1412.977099,1310.7103929999998,0.0
21,22.0,202.205823,403.0,972.591009,770.385186,0.0
22,23.0,101.776448,403.0,614.092841,512.3163930000001,0.0
23,24.0,406.916109,404.0,1189.018914,782.102805,0.0
24,25.0,1.214662,404.0,877.828622,876.61396,0.0
25,26.0,201.782107,404.0,809.720852,607.938745,0.0
26,27.0,308.86132,404.0,1232.528031,923.6667110000001,0.0
27,28.0,302.142474,404.0,685.559834,383.41736000000003,0.0
28,29.0,502.846854,405.0,1118.7498,615.902946,0.0
29,30.0,311.779869,405.0,2640.035107,2328.255238,0.0
30,31.0,23.878569,405.0,215.469534,191.590965,0.0
31,32.0,101.456726,405.0,667.52561,566.068884,0.0
32,33.0,207.863579,406.0,719.025585,511.162006,0.0
33,34.0,1.168107,406.0,1000.413666,999.2455590000001,0.0
34,35.0,101.846744,406.0,1307.863956,1206.017212,0.0
35,36.0,101.824057,406.0,796.955531,695.1314739999999,0.0
36,37.0,101.632665,406.0,855.368585,753.7359200000001,0.0
37,38.0,202.023556,407.0,854.579761,652.556205,0.0
38,39.0,302.425422,407.0,1347.714313,1045.288891,0.0
39,40.0,2.903594,407.0,1110.431646,1107.528052,0.0
40,41.0,411.005073,407.0,546.420042,135.41496899999999,0.0
41,42.0,1.436453,408.0,3569.207895,3567.771442,0.0
42,43.0,116.62829,408.0,348.05249,231.42419999999998,0.0
43,44.0,409.921613,408.0,266.817708,-143.103905,0.0
44,45.0,301.867394,408.0,192.276802,-109.59059199999999,0.0
45,46.0,206.543583,409.0,707.406443,500.86285999999996,0.0
46,47.0,303.635472,409.0,1239.007307,935.3718350000001,0.0
47,48.0,1.469251,409.0,1047.472226,1046.002975,0.0
48,49.0,505.296808,409.0,889.322565,384.02575700000006,0.0
49,50.0,201.92945,409.0,1106.651611,904.722161,0.0
50,51.0,235.261117,410.0,391.633058,156.371941,0.0
51,52.0,1.631942,410.0,1330.074036,1328.442094,0.0
52,53.0,205.101471,410.0,906.680923,701.579452,0.0
53,54.0,305.010226,410.0,2468.2928,2163.2825740000003,0.0
54,55.0,201.759433,411.0,253.806749,52.047315999999995,0.0
55,56.0,203.280226,411.0,601.739238,398.45901200000003,0.0
56,57.0,504.374737,411.0,938.256619,433.881882,0.0
57,58.0,101.829644,411.0,1041.936547,940.106903,0.0
58,59.0,305.620268,411.0,967.029344,661.409076,0.0
59,60.0,402.622044,412.0,718.221784,315.59973999999994,0.0
60,61.0,101.786082,412.0,1209.631822,1107.84574,0.0
61,62.0,122.949003,412.0,718.439454,595.4904509999999,0.0
62,63.0,1.600676,413.0,1371.068326,1369.46765,0.0
63,64.0,1.393,413.0,1202.947861,1201.554861,0.0
64,65.0,506.87663,413.0,926.870616,419.99398600000006,0.0
65,66.0,1.531145,413.0,3521.806057,3520.274912,0.0
66,67.0,201.740975,413.0,290.96823,89.22725500000001,0.0
67,68.0,402.429566,414.0,176.784405,-225.64516100000003,0.0
68,69.0,302.389297,414.0,200.880182,-101.50911500000001,0.0
69,70.0,103.997808,414.0,284.479263,180.48145499999998,0.0
70,71.0,202.419845,414.0,1245.00557,1042.585725,0.0
71,72.0,266.664442,414.0,938.193298,671.528856,0.0
72,73.0,6.03273,415.0,824.261464,818.228734,0.0
73,74.0,1.745739,415.0,1050.095274,1048.349535,0.0
74,75.0,205.494355,415.0,1247.04622,1041.551865,0.0
