,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473
0,1.5315505698943437e+18,402134938.0,1340250317.0,991682.0,1213953400.0,201924339.0,1120860594.0,322680211.0,739865914.0,502434458.0,1258357028.0,101019864.0,1306747855.0,802684218.0,1202676915.0,233734414.0,790748475.0,903076678.0,1181348530.0,100995169.0,1254167340.0,201519529.0,1172570784.0,223126500.0,743824280.0,602409614.0,1188540279.0,402125739.0,1275662461.0,401977036.0,1383153990.0,228093001.0,749275917.0,802625998.0,1352480968.0,742691.0,1316053130.0,201391379.0,1428443203.0,232438873.0,771863148.0,702498460.0,1227174906.0,201266737.0,1318492082.0,104175321.0,1344228374.0,233206488.0,867133967.0,802352223.0,1270568301.0,301618816.0,1085752120.0,303222425.0,1038878356.0,122469331.0,763664932.0,604692479.0,1169428251.0,201619724.0,1169375577.0,702554407.0,1371339699.0,234380236.0,873358877.0,802673143.0,1285980646.0,201346998.0,1425228647.0,101193485.0,1303627972.0,124643063.0,911218471.0,602327264.0,1286543898.0,201484952.0,1425372039.0,101244367.0,1254529746.0,225437551.0,847261324.0,810949685.0,1244758857.0,602168716.0,1304457476.0,105205953.0,1333855135.0,224882248.0,879322480.0,710391095.0,1275420663.0,201333840.0,1251775335.0,101144738.0,1243172793.0,243568941.0,834357605.0,703274568.0,1479956918.0,904481.0,1279386092.0,201513569.0,1582377267.0,226095285.0,1069767163.0,902711685.0,1289018980.0,501897554.0,1589695610.0,864159.0,1269791933.0,137970190.0,846618560.0,1009728740.0,1539539650.0,401827808.0,1312713453.0,301701260.0,1140983390.0,221228435.0,676468524.0,602228494.0,1320947944.0,810138.0,1074266420.0,201685069.0,1087556080.0,221147091.0,806728261.0,703468145.0,1284337520.0,301555666.0,1332335500.0,1180872.0,1330577991.0,930277168.0,818536246.0,609150471.0,1293496837.0,201458280.0,1253586714.0,201336635.0,1381599002.0,222925742.0,630776198.0,802924871.0,1286081916.0,301806868.0,1344769644.0,301822698.0,1704847808.0,237435827.0,570663592.0,1316716842.0,1363834154.0,401736286.0,1405538812.0,301558896.0,1227172573.0,221699945.0,574155991.0,902840885.0,1575189904.0,4521810.0,1398719770.0,201387864.0,1134282384.0,237169512.0,471127302.0,1003092605.0,1133203976.0,203244499.0,1115652890.0,403354352.0,1086344876.0,128766597.0,477177749.0,804783994.0,1326019696.0,304893022.0,1394031736.0,603286087.0,1251537373.0,224812185.0,651088400.0,903239435.0,1635094515.0,946204.0,1284868248.0,998780.0,1281414517.0,225032329.0,574394904.0,1007621706.0,1401639755.0,401452308.0,1424148003.0,201293788.0,1427844747.0,234268806.0,453469184.0,1314335651.0,1329388392.0,201334961.0,1328405878.0,401907397.0,1127325095.0,322086572.0,737405562.0,1003060871.0,1434183114.0,806189568.0,1158540340.0,403432562.0,1290611779.0,227407242.0,445642099.0,902997991.0,1139358752.0,503074905.0,1121007766.0,301593004.0,1402632054.0,237266811.0,528175053.0,1003715144.0,1376727887.0,401981435.0,1259491908.0,302245025.0,1273797412.0,225510151.0,576488637.0,1107622962.0,1405000657.0,201829508.0,1297735053.0,201414963.0,1240667498.0,227471175.0,489209397.0,903163229.0,1387553966.0,301604555.0,1363083947.0,501757196.0,1330345922.0,342083091.0,476323649.0,1303539541.0,1458634502.0,502289937.0,1488169850.0,100999897.0,1249441476.0,221335498.0,661193600.0,1102973852.0,1751891282.0,201503979.0,1484956005.0,201400709.0,1052917742.0,322376452.0,492984500.0,903191530.0,1238750580.0,403895545.0,1203627557.0,301363381.0,1244404497.0,226286170.0,501428548.0,1203106019.0,1366214362.0,402615927.0,1421185693.0,940173.0,1312409631.0,228413321.0,562112315.0,1003841746.0,1422588557.0,941144.0,1288096346.0,201354132.0,1396904162.0,225379719.0,537386044.0,1405402951.0,1633590743.0,897263.0,1452017779.0,207384402.0,1473578200.0,122514958.0,478774015.0,1104070795.0,1516450868.0,302748017.0,1434891668.0,301364447.0,1186882876.0,230553028.0,678463374.0,1103406186.0,1570106335.0,1156618.0,1524300179.0,100955545.0,1126691937.0,225817583.0,3467133730.0,948346.0,726921838.0,101162949.0,605113585.0,226341185.0,1114434424.0,1321577102.0,-574621265.0,323236150.0,2394206826.0,101136836.0,1591281753.0,225182640.0,1287618477.0,1210761409.0,-427970078.0,8710696.0,2637387600.0,401956612.0,903914989.0,226917598.0,1482776482.0,802968428.0,21961415.0,301413825.0,1959527919.0,401670223.0,1348284728.0,234487892.0,1675851603.0,1403714442.0,-675957950.0,201381271.0,2578983110.0,402044721.0,1190796722.0,358005019.0,1510436172.0,1003042343.0,-101284021.0,1005219714.0,1469849639.0,401961527.0,1913497213.0,223069871.0,1373702810.0,903110529.0,-219711807.0,203958825.0,1936319955.0,301659248.0,1124978711.0,134095945.0,1585669896.0,1306416538.0,-531882483.0,1039423.0,2848979536.0,301742267.0,1010371982.0,227732524.0,1378490485.0,1105893254.0,-287973639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.5315505700537037e+18,221678276.0,739990179.0,702635183.0,1328102668.0,101216323.0,1254752801.0,829008.0,1109397125.0,227033763.0,792620548.0,609991419.0,1339063706.0,702702407.0,1393538248.0,101061149.0,1431283732.0,130824352.0,769547698.0,702479907.0,1382300920.0,742803.0,1338911405.0,778826.0,1153829588.0,223702818.0,791544692.0,802820469.0,1306618142.0,401750397.0,1208379197.0,402058380.0,1352810469.0,126668879.0,790636946.0,705442822.0,1353893612.0,819127.0,1258021070.0,401669550.0,1383138003.0,128305788.0,798865010.0,702419317.0,1429523367.0,1196627.0,1484946428.0,923835.0,1563788516.0,235231346.0,810712969.0,602118788.0,1139751471.0,303234977.0,1045802636.0,203401136.0,1106340249.0,226620068.0,717863354.0,602442520.0,1213475249.0,702519492.0,1508620202.0,106131798.0,1462011867.0,132848795.0,735070166.0,702354612.0,1241830474.0,401759841.0,1326276847.0,112194765.0,1317344206.0,231355840.0,786902626.0,602373421.0,1194393744.0,301388770.0,1183214235.0,401706513.0,1473826950.0,224137622.0,775998961.0,1003361865.0,1325119740.0,814277.0,1219464422.0,404009965.0,1476523090.0,130006521.0,796534392.0,602069932.0,1196687064.0,201523973.0,1176214930.0,301524733.0,1378960721.0,120847147.0,4121165090.0,1222681.0,768905596.0,134864577.0,828435754.0,902851482.0,-65708687.0,201280530.0,784156776.0,201282580.0,2120712140.0,131096654.0,1340554920.0,902659625.0,898155343.0,401702625.0,777486869.0,104285425.0,2095252941.0,132993530.0,1467893602.0,702336651.0,493714016.0,746470.0,845812158.0,101116148.0,1896814888.0,137887846.0,1034582762.0,1078449.0,1392698762.0,857935.0,3940749168.0,145681699.0,576385351.0,902788415.0,-259357137.0,931594.0,1341239249.0,301458748.0,466027901.0,125196717.0,2248755925.0,1339530.0,1289992201.0,1469099.0,1594320121.0,136647579.0,3678331375.0,1203298207.0,-242729843.0,301318994.0,490979376.0,101159152.0,1397931294.0,140581605.0,538990368.0,1003259711.0,1579663594.0,201464251.0,1381748924.0,302514360.0,1179646051.0,230319414.0,523329146.0,806393434.0,1587728968.0,303858182.0,1024686108.0,203030904.0,1377367089.0,128432699.0,593102018.0,1103221416.0,831011595.0,702257077.0,700345209.0,1182262.0,1312849418.0,228849853.0,407779410.0,910922271.0,1545787672.0,851967.0,2124729768.0,101274963.0,1299021934.0,222019331.0,682666995.0,1303712053.0,933053301.0,1191489.0,1354873038.0,101297734.0,1377596688.0,125706195.0,611626801.0,1002963441.0,1929771097.0,401744650.0,1140101933.0,987284.0,1713894189.0,364041052.0,328674853.0,1603872598.0,712077227.0,201245183.0,1578621528.0,402472950.0,1138134828.0,128028333.0,839494132.0,1218624258.0,1655070864.0,301436138.0,1012014430.0,1366107.0,1592177213.0,132348625.0,441097799.0,1203333995.0,1189779822.0,301677126.0,1600096063.0,101014388.0,1317813292.0,226340320.0,430582015.0,1002969170.0,1464900383.0,201301152.0,1523583661.0,101726646.0,1494757452.0,134438523.0,654781456.0,1204795436.0,1145747659.0,401914700.0,1145277377.0,301748360.0,998011931.0,132866352.0,481731025.0,1403810648.0,1261484290.0,101070007.0,1703630736.0,101003263.0,1821550454.0,245672303.0,421434681.0,1221402307.0,1723406877.0,101294909.0,1410558845.0,1013733.0,1681200579.0,422436747.0,525828704.0,1103897121.0,1687682592.0,302082548.0,1049639951.0,301608702.0,802496504.0,132346521.0,844778195.0,1103003593.0,1145206408.0,301899786.0,1155467969.0,201329121.0,1705646486.0,128629498.0,562687366.0,1008779.0,2411858605.0,746436.0,1562684069.0,138802615.0,1423645034.0,1207246191.0,2458183841.0,2095209.0,756593299.0,1160077.0,745815115.0,228229903.0,1087528730.0,1203503013.0,-562474896.0,301462803.0,2665134241.0,1072493.0,1471855676.0,137538891.0,1202864197.0,903247338.0,-29514349.0,201206861.0,2479602145.0,1598534.0,1787248329.0,1024863893.0,422929871.0,903072626.0,-114854316.0,828176.0,2414165642.0,402050641.0,1135493167.0,131402134.0,917868871.0,1203437505.0,345905542.0,1278683.0,2358059367.0,201561891.0,972745704.0,130275455.0,1907178163.0,1003379878.0,-299149932.0,401658174.0,2299365528.0,101100946.0,1304699773.0,121823667.0,1618586574.0,1203041184.0,-611802136.0,301551632.0,2019890086.0,301663229.0,1541831235.0,138140740.0,1211585241.0,954584.0,711695148.0,1104948.0,2685001480.0,250655241.0,1545462367.0,833160.0,1997215065.0,864741.0,3554025313.0,914329.0,828102831.0,230766439.0,736624607.0,1003514921.0,445890898.0,824200.0,3739323594.0,201484169.0,486246548.0,134803953.0,1179065139.0,1003181480.0,159104492.0,101006769.0,620934358.0,820838.0,2464699593.0,130077285.0,1275413399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.531550570224126e+18,856799.0,1265898715.0,226738770.0,806468548.0,604783270.0,1174684914.0,101101068.0,1236041505.0,952061.0,1313539699.0,126875728.0,842483807.0,1304439175.0,1197843786.0,201476113.0,1549817415.0,101340288.0,1184150077.0,226917484.0,853619008.0,502833698.0,1190898658.0,201362019.0,1188332094.0,201464157.0,1387233920.0,226458029.0,855527768.0,809993067.0,1235630352.0,301501324.0,1235679436.0,301641487.0,1254393969.0,233766109.0,810083093.0,610048667.0,1345241454.0,301560894.0,1198374644.0,301609174.0,1284805424.0,227742129.0,760659915.0,602292299.0,1314197998.0,201347501.0,1316285473.0,501915896.0,1273921911.0,141642619.0,705276386.0,704845235.0,1052237038.0,203828626.0,1114078541.0,203646505.0,1161041764.0,128355672.0,791159360.0,1103605529.0,1244674245.0,401850025.0,1362928219.0,301475112.0,1222542333.0,230489497.0,814293806.0,802453935.0,1195843390.0,301570404.0,1390926110.0,101149136.0,1201144483.0,232532768.0,3792044694.0,3631489.0,817369242.0,1275566.0,675804702.0,128362534.0,900238147.0,602112620.0,276617217.0,401819816.0,1440942133.0,402503841.0,1254446329.0,224431528.0,1396218774.0,501944602.0,554918121.0,301730871.0,1384888730.0,201525112.0,1395497949.0,336105062.0,1080636152.0,802638565.0,132726761.0,301517676.0,2073183842.0,501850756.0,1328786123.0,253526744.0,1760510579.0,1003341288.0,-190691593.0,201240413.0,2087011160.0,301406264.0,1370466404.0,182552030.0,1776218358.0,1204073698.0,-531754279.0,201150792.0,2077461688.0,301412671.0,993237674.0,222314634.0,1176327152.0,802770429.0,-150880555.0,201391047.0,1652614375.0,301540265.0,1137111441.0,329090248.0,1257833774.0,902819745.0,-71820224.0,1004132088.0,1124350559.0,104278198.0,2217866966.0,225527656.0,1151194271.0,903342121.0,-184015645.0,401727070.0,1723709890.0,101488942.0,1734447779.0,226958837.0,1162536201.0,1103819720.0,-410033996.0,401753596.0,2371681086.0,401698642.0,1480725089.0,232856486.0,1736444904.0,1103404560.0,-342711078.0,201470486.0,2088789498.0,201298560.0,1319236456.0,237382943.0,1378358270.0,1003049809.0,-210713297.0,103080232.0,2079189801.0,403683293.0,901285525.0,223213152.0,1299666459.0,905149701.0,-205184018.0,203122401.0,1838668492.0,101545703.0,1240231605.0,237469100.0,1217324614.0,869210.0,3676502566.0,759417.0,907724156.0,225410798.0,476607549.0,904406611.0,503037516.0,201222903.0,478406467.0,402061279.0,1737307407.0,227752154.0,1229418786.0,903177659.0,1093048658.0,301561203.0,506960131.0,501717714.0,1804257187.0,243761053.0,1258384024.0,1286429.0,1910728792.0,1000384.0,4106073436.0,128242693.0,667284409.0,1461169.0,917363780.0,886010.0,1388829593.0,225275431.0,3350985338.0,902941826.0,-212926138.0,401668482.0,277081692.0,101038540.0,975865078.0,125580998.0,537451262.0,1103400194.0,1132507518.0,301506601.0,1519707553.0,501915285.0,1146299695.0,224914878.0,341597432.0,902810648.0,1461621210.0,301867499.0,1289600585.0,201452882.0,1650455847.0,230046279.0,486529070.0,1218224.0,2082077101.0,3011467.0,1530966768.0,238085611.0,1398837941.0,905566421.0,2886687901.0,301524146.0,491145262.0,201287478.0,1044215304.0,244661196.0,1222001889.0,1253308.0,842024128.0,835701.0,2136282252.0,232034020.0,1653085129.0,1003917543.0,986126002.0,101325641.0,3675168537.0,501699570.0,160792025.0,247261765.0,480777272.0,907864503.0,40885509.0,1052266.0,694718580.0,201359810.0,2035583594.0,227814180.0,1241770624.0,902909721.0,945562462.0,401946665.0,463985159.0,603309891.0,1753596056.0,135078264.0,1276936529.0,903001876.0,603206242.0,201608831.0,487373474.0,1521554.0,2221823845.0,237040333.0,1449428457.0,1109644038.0,967514408.0,308035065.0,543966598.0,201664713.0,2183495624.0,228265208.0,1572392973.0,1002844840.0,633854010.0,302020594.0,480454863.0,803517439.0,1458718949.0,231302340.0,1505288622.0,913445160.0,692010703.0,301388066.0,558009227.0,402030924.0,1741239960.0,238253386.0,1319994440.0,802693172.0,1166299831.0,408333262.0,345529020.0,301646213.0,1817717262.0,224485148.0,1595614387.0,1103578261.0,740302768.0,201319623.0,615249687.0,201199779.0,1877371921.0,227367006.0,1636403714.0,1103173176.0,411137887.0,401752593.0,380307305.0,401598921.0,2017647344.0,255225193.0,1203527974.0,1218938.0,1755172002.0,811162.0,909193936.0,225063472.0,2275952468.0,1203627945.0,620236021.0,301541371.0,1477481160.0,1036933.0,3977217189.0,131626174.0,785286881.0,921531384.0,439084783.0,301445958.0,1166082141.0,301315734.0,387097269.0,126239023.0,2239878587.0,1303851199.0,366073938.0,101150083.0,1165177527.0,201612351.0,488211309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.5315505703361784e+18,860559.0,1347568413.0,749596.0,1232552519.0,133621706.0,3819816891.0,1174724.0,712686206.0,122875595.0,696365416.0,702587573.0,-79767420.0,401876033.0,473829999.0,890948.0,1976047636.0,226179790.0,1568569607.0,611940098.0,623372066.0,905674.0,976973553.0,501870159.0,1420725112.0,123942340.0,1008973119.0,802766401.0,1166848794.0,401827317.0,516247481.0,874982.0,2011394691.0,226169240.0,1554070698.0,704444717.0,586624257.0,301593815.0,768806982.0,401806320.0,1474753803.0,120629864.0,1306660713.0,904706738.0,726949694.0,301817314.0,567846783.0,201531451.0,2059869971.0,122186109.0,1507832645.0,1216192.0,1439139709.0,128116537.0,3710031493.0,802509111.0,-101064287.0,301855692.0,382047667.0,1191048.0,579773113.0,126059324.0,799147537.0,802559362.0,1398821087.0,902843.0,1729464265.0,101117196.0,1326786639.0,328736896.0,565600972.0,602178201.0,1702940740.0,402116641.0,926128304.0,401911062.0,915447656.0,236251084.0,905792847.0,711051519.0,1207216273.0,401642079.0,1348255232.0,201416019.0,1408921939.0,224141062.0,827106060.0,802840990.0,1183061988.0,301329123.0,1287881033.0,301589624.0,1112442898.0,229033142.0,599379220.0,1103104841.0,926870038.0,602007634.0,945600871.0,502035462.0,1048509773.0,229346103.0,645312350.0,802569012.0,1780621590.0,401625441.0,1494192910.0,407374840.0,1455123644.0,131799600.0,686162679.0,905051699.0,1281726179.0,101001892.0,1858035737.0,201215212.0,1649077358.0,122809477.0,469481433.0,903543692.0,1248406302.0,987041.0,1220133553.0,1042372.0,1266951981.0,235724632.0,328477357.0,834919.0,2421277429.0,123975969.0,1379135331.0,1103143781.0,154920627.0,301576122.0,3551717273.0,101742296.0,711481146.0,226007629.0,493682434.0,1203421608.0,21522311.0,702250067.0,-85067445.0,401760239.0,1961455433.0,227494879.0,1588101061.0,702398076.0,698911771.0,104391832.0,878352925.0,201369175.0,2312379702.0,138681815.0,1901973133.0,904862224.0,976413095.0,301318224.0,520591874.0,303645207.0,1795836796.0,223599314.0,1314613654.0,1191306.0,1608259957.0,123170927.0,510849771.0,1103610927.0,973532115.0,839412.0,1437993925.0,201324140.0,1338066178.0,225880727.0,3529436446.0,902931196.0,-42042732.0,401769033.0,417559587.0,401476012.0,326646505.0,140509118.0,414254896.0,1103170141.0,1528923562.0,602069921.0,778663687.0,101520104.0,1273173886.0,130091096.0,565599897.0,1002965276.0,1157493469.0,202267037.0,1613426605.0,802307750.0,990303142.0,125302227.0,649400867.0,1106832495.0,1203531199.0,201147780.0,1867396325.0,604053382.0,951037398.0,125737790.0,489224209.0,1102951263.0,1480565856.0,201192257.0,1476316854.0,201363841.0,1915978590.0,126529968.0,438914181.0,1003212059.0,1278018375.0,401884527.0,929414189.0,401960600.0,1410310843.0,131822426.0,535026482.0,1528514.0,2501604980.0,238139205.0,1469225084.0,1114422659.0,452304568.0,502191122.0,134497513.0,501879220.0,1851482354.0,132268970.0,1556358372.0,1002908102.0,645007474.0,401992215.0,3409910435.0,2198332.0,824491078.0,134800590.0,760658096.0,1003394892.0,-193509099.0,914273.0,736648071.0,502183251.0,1926444273.0,127594495.0,1789858604.0,802773486.0,1156394086.0,501793697.0,140600314.0,1109946.0,2468170095.0,226986490.0,2091220749.0,1003310829.0,475039746.0,983277.0,555344556.0,301568843.0,2044385172.0,228144094.0,1000583655.0,1003143894.0,816156626.0,601996401.0,121763325.0,303206444.0,1858578049.0,127967164.0,1989015679.0,1109285277.0,207846058.0,1276056.0,716966597.0,502302300.0,2013101466.0,128351418.0,1116185681.0,902758082.0,636629026.0,301575330.0,483607453.0,103454558.0,2235961377.0,175522818.0,1806236054.0,952241.0,1740407483.0,101547373.0,646348985.0,250398024.0,2311080243.0,1003089833.0,436323416.0,401505701.0,1635502314.0,840309.0,650636435.0,231612360.0,2134696471.0,1104126322.0,649722762.0,301720580.0,1274745298.0,301847350.0,3311313105.0,134118116.0,623221176.0,1003360751.0,-368537091.0,781873.0,1304328422.0,401443879.0,287033933.0,235599449.0,2249318669.0,1002904793.0,1075305517.0,601864238.0,664672836.0,1033570.0,736407266.0,426141361.0,2121450755.0,1112408927.0,423649048.0,302824188.0,1446670474.0,1005723170.0,-337457312.0,223556269.0,2180572433.0,802961873.0,687776107.0,201368421.0,1777582537.0,201977862.0,660086717.0,233885883.0,2114048723.0,1002893490.0,1141874845.0,301391115.0,1134559785.0,201413373.0,883670540.0,126238086.0,2376097635.0,1003438367.0,783809334.0,101189886.0,2316565525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
