,Height,ConTime,BlockNum,TotalTime,NonConTime,Throughput,Overhead,Latency
66,67.0,1180872.0,67.0,1331758863.0,1330577991.0,0.0,0.0,0.0
67,68.0,930277168.0,68.0,1748813414.0,818536246.0,0.0,0.0,0.0
68,69.0,609150471.0,69.0,1902647308.0,1293496837.0,0.0,0.0,0.0
69,70.0,201458280.0,70.0,1455044994.0,1253586714.0,0.0,0.0,0.0
70,71.0,201336635.0,71.0,1582935637.0,1381599002.0,0.0,0.0,0.0
71,72.0,222925742.0,72.0,853701940.0,630776198.0,0.0,0.0,0.0
72,73.0,802924871.0,73.0,2089006787.0,1286081916.0,0.0,0.0,0.0
73,74.0,301806868.0,74.0,1646576512.0,1344769644.0,0.0,0.0,0.0
74,75.0,301822698.0,75.0,2006670506.0,1704847808.0,0.0,0.0,0.0
75,76.0,237435827.0,76.0,808099419.0,570663592.0,0.0,0.0,0.0
76,77.0,1316716842.0,77.0,2680550996.0,1363834154.0,0.0,0.0,0.0
77,78.0,401736286.0,78.0,1807275098.0,1405538812.0,0.0,0.0,0.0
78,79.0,301558896.0,79.0,1528731469.0,1227172573.0,0.0,0.0,0.0
79,80.0,221699945.0,80.0,795855936.0,574155991.0,0.0,0.0,0.0
80,81.0,902840885.0,81.0,2478030789.0,1575189904.0,0.0,0.0,0.0
81,82.0,4521810.0,82.0,1403241580.0,1398719770.0,0.0,0.0,0.0
82,83.0,201387864.0,83.0,1335670248.0,1134282384.0,0.0,0.0,0.0
83,84.0,237169512.0,84.0,708296814.0,471127302.0,0.0,0.0,0.0
84,85.0,1003092605.0,85.0,2136296581.0,1133203976.0,0.0,0.0,0.0
85,86.0,203244499.0,86.0,1318897389.0,1115652890.0,0.0,0.0,0.0
86,87.0,403354352.0,87.0,1489699228.0,1086344876.0,0.0,0.0,0.0
87,88.0,128766597.0,88.0,605944346.0,477177749.0,0.0,0.0,0.0
88,89.0,804783994.0,89.0,2130803690.0,1326019696.0,0.0,0.0,0.0
89,90.0,304893022.0,90.0,1698924758.0,1394031736.0,0.0,0.0,0.0
90,91.0,603286087.0,91.0,1854823460.0,1251537373.0,0.0,0.0,0.0
91,92.0,224812185.0,92.0,875900585.0,651088400.0,0.0,0.0,0.0
92,93.0,903239435.0,93.0,2538333950.0,1635094515.0,0.0,0.0,0.0
93,94.0,946204.0,94.0,1285814452.0,1284868248.0,0.0,0.0,0.0
94,95.0,998780.0,95.0,1282413297.0,1281414517.0,0.0,0.0,0.0
95,96.0,225032329.0,96.0,799427233.0,574394904.0,0.0,0.0,0.0
96,97.0,1007621706.0,97.0,2409261461.0,1401639755.0,0.0,0.0,0.0
97,98.0,401452308.0,98.0,1825600311.0,1424148003.0,0.0,0.0,0.0
