,Height,ConTime,Txs,TotalTime,NonConTime,Throughput
0,1.0,906.929429,1398.0,4392.440842,3485.511413,384.437749221187
1,2.0,506.502,1399.0,3989.981637,3483.479637,0.0
2,3.0,302.198636,1399.0,3842.774099,3540.575463,0.0
3,4.0,305.534008,1400.0,3582.147891,3276.613883,0.0
4,5.0,504.973014,1401.0,3812.558045,3307.585031,0.0
5,6.0,422.547914,1402.0,4789.917333,4367.369419000001,0.0
6,7.0,1.810955,1402.0,3166.49576,3164.684805,0.0
7,8.0,3.155311,1403.0,3495.792777,3492.637466,0.0
8,9.0,204.711942,1404.0,3837.008717,3632.2967750000003,0.0
9,10.0,402.62824,1404.0,4010.200074,3607.571834,0.0
10,11.0,203.962172,1405.0,3756.637181,3552.675009,0.0
11,12.0,101.967069,1406.0,2852.317582,2750.3505130000003,0.0
12,13.0,1010.653968,1406.0,4539.077459,3528.423491,0.0
13,14.0,304.212645,1407.0,3830.808171,3526.595526,0.0
14,15.0,303.183494,1408.0,3894.02551,3590.842016,0.0
15,16.0,302.091047,1408.0,3708.622674,3406.5316270000003,0.0
16,17.0,407.319165,1409.0,3934.75904,3527.439875,0.0
17,18.0,302.914958,1410.0,3783.760175,3480.845217,0.0
18,19.0,307.600542,1410.0,3574.965979,3267.365437,0.0
19,20.0,505.392058,1411.0,3958.854441,3453.462383,0.0
20,21.0,106.289414,1412.0,3668.197373,3561.907959,0.0
21,22.0,433.663177,1413.0,0.0,0.0,0.0
