,Height,ConTime,Txs,TotalTime,NonConTime,Throughput
0,1.0,1.841106,1198.0,2894.574147,2892.733041,400.1705299099836
1,2.0,102.039791,1199.0,2661.499116,2559.459325,0.0
2,3.0,606.952151,1199.0,3043.252722,2436.300571,0.0
3,4.0,704.401786,1200.0,3546.574685,2842.172899,0.0
4,5.0,104.512338,1201.0,3071.999633,2967.487295,0.0
5,6.0,207.625131,1201.0,3180.332388,2972.707257,0.0
6,7.0,202.414469,1202.0,3288.501039,3086.0865700000004,0.0
7,8.0,202.140675,1202.0,2907.439946,2705.299271,0.0
8,9.0,503.694552,1203.0,3248.28123,2744.586678,0.0
9,10.0,412.970916,1204.0,2971.041711,2558.0707949999996,0.0
10,11.0,489.976255,1204.0,2088.167237,1598.190982,0.0
11,12.0,1505.491503,1205.0,4162.477225,2656.9857219999994,0.0
12,13.0,703.625117,1205.0,3574.027639,2870.402522,0.0
13,14.0,201.896191,1206.0,3134.495436,2932.5992450000003,0.0
14,15.0,101.718423,1207.0,3216.328804,3114.6103810000004,0.0
15,16.0,7.693591,1207.0,3004.547901,2996.8543099999997,0.0
16,17.0,103.396226,1208.0,2887.74763,2784.351404,0.0
17,18.0,409.55422,1208.0,3289.678777,2880.124557,0.0
18,19.0,201.999603,1209.0,2951.019246,2749.0196429999996,0.0
19,20.0,324.905612,1209.0,3326.207187,3001.301575,0.0
20,21.0,6.065559,1210.0,2903.634674,2897.569115,0.0
21,22.0,408.114846,1211.0,2825.331236,2417.21639,0.0
22,23.0,708.317194,1211.0,3849.201647,3140.8844529999997,0.0
23,24.0,118.520324,1212.0,3302.996902,3184.476578,0.0
24,25.0,102.37452,1212.0,3002.247138,2899.8726180000003,0.0
25,26.0,201.901887,1213.0,0.0,0.0,0.0
