,Height,ConTime,Txs,TotalTime,NonConTime,Throughput
0,1.0,1.030441,599.0,851.05069,850.020249,556.5542837731346
1,2.0,1.417651,599.0,740.586155,739.168504,0.0
2,3.0,201.789909,599.0,819.867525,618.077616,0.0
3,4.0,101.749786,600.0,666.746428,564.9966420000001,0.0
4,5.0,301.711089,600.0,802.807501,501.096412,0.0
5,6.0,327.031207,600.0,3908.996423,3581.965216,0.0
6,7.0,1.025955,602.0,274.594022,273.568067,0.0
7,8.0,0.452654,602.0,394.046844,393.59419,0.0
8,9.0,1.415563,602.0,368.676134,367.26057099999997,0.0
9,10.0,0.390631,602.0,253.865998,253.47536699999998,0.0
10,11.0,101.999808,602.0,336.941568,234.94176000000002,0.0
11,12.0,202.570321,602.0,474.900716,272.33039499999995,0.0
12,13.0,222.218419,603.0,963.12566,740.907241,0.0
13,14.0,1.452043,604.0,1016.579431,1015.127388,0.0
14,15.0,1.399707,604.0,3496.93899,3495.539283,0.0
15,16.0,1.152553,604.0,350.888282,349.735729,0.0
16,17.0,302.028413,604.0,398.181423,96.15301,0.0
17,18.0,201.643766,605.0,347.289031,145.64526500000002,0.0
18,19.0,445.083159,605.0,717.049379,271.96622,0.0
19,20.0,1.923714,606.0,504.321897,502.39818299999996,0.0
20,21.0,0.418243,606.0,921.897791,921.479548,0.0
21,22.0,101.545967,607.0,1524.994635,1423.448668,0.0
22,23.0,504.418259,607.0,3912.116444,3407.6981849999997,0.0
23,24.0,201.67902,607.0,258.96852,57.289500000000004,0.0
24,25.0,223.064719,607.0,243.093466,20.02874700000001,0.0
25,26.0,1.347762,608.0,411.73977,410.39200800000003,0.0
26,27.0,0.462752,608.0,436.464404,436.001652,0.0
27,28.0,1.14015,609.0,719.309258,718.169108,0.0
28,29.0,1.168381,609.0,1147.144132,1145.975751,0.0
29,30.0,302.010875,609.0,937.521742,635.510867,0.0
30,31.0,302.010116,610.0,3637.095869,3335.0857530000003,0.0
31,32.0,219.463662,610.0,281.212468,61.748806,0.0
32,33.0,402.294511,610.0,326.754421,-75.54009000000002,0.0
33,34.0,302.667514,610.0,309.559257,6.8917430000000195,0.0
34,35.0,203.333356,611.0,423.116124,219.782768,0.0
35,36.0,604.083968,611.0,501.000666,-103.083302,0.0
36,37.0,204.413364,611.0,1168.53926,964.125896,0.0
37,38.0,302.072605,612.0,1061.353101,759.2804959999999,0.0
38,39.0,101.458503,612.0,718.98384,617.525337,0.0
39,40.0,120.826477,612.0,1044.387654,923.5611770000002,0.0
40,41.0,602.650965,612.0,1535.144496,932.4935309999998,0.0
41,42.0,301.730114,613.0,865.147997,563.4178830000001,0.0
42,43.0,201.744394,613.0,1331.843761,1130.099367,0.0
43,44.0,204.576213,613.0,797.48117,592.904957,0.0
44,45.0,211.225748,614.0,1072.035294,860.809546,0.0
45,46.0,525.339083,614.0,938.87227,413.533187,0.0
46,47.0,206.074448,614.0,416.217477,210.14302899999998,0.0
47,48.0,537.631377,615.0,1388.983909,851.352532,0.0
48,49.0,1.831556,615.0,1136.465332,1134.633776,0.0
49,50.0,1.353858,616.0,998.532405,997.1785470000001,0.0
50,51.0,0.453012,616.0,965.218548,964.7655360000001,0.0
51,52.0,1.199402,616.0,1071.63287,1070.433468,0.0
52,53.0,402.24637,616.0,1089.391081,687.1447109999999,0.0
53,54.0,302.041693,617.0,827.456026,525.4143329999999,0.0
54,55.0,344.969966,617.0,3920.163171,3575.193205,0.0
55,56.0,1.176573,618.0,278.535742,277.359169,0.0
56,57.0,101.454647,618.0,387.928641,286.47399400000006,0.0
57,58.0,302.069798,618.0,363.160022,61.090224000000035,0.0
58,59.0,201.551118,619.0,243.778971,42.22785300000001,0.0
59,60.0,1.047885,619.0,493.33058,492.282695,0.0
60,61.0,219.098907,619.0,984.151095,765.0521880000001,0.0
61,62.0,502.635885,620.0,912.949995,410.31410999999997,0.0
62,63.0,201.870455,620.0,3622.438707,3420.568252,0.0
63,64.0,207.062038,620.0,428.557138,221.4951,0.0
64,65.0,101.224005,621.0,375.903086,274.679081,0.0
65,66.0,305.168647,621.0,282.850831,-22.317815999999993,0.0
66,67.0,201.353592,621.0,415.792214,214.438622,0.0
67,68.0,803.082725,622.0,1076.347174,273.264449,0.0
68,69.0,227.08946,622.0,1042.849768,815.760308,0.0
69,70.0,602.484381,622.0,1424.216793,821.7324120000001,0.0
70,71.0,201.991727,622.0,614.806519,412.814792,0.0
71,72.0,101.177123,623.0,1211.06667,1109.889547,0.0
