,Height,ConTime,BlockNum,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,603438043.0,1.0,2196119045.0,1592681002.0,489.17074889918644,0.0,3.311727047550562
1,2.0,1025349025.0,2.0,2650410670.0,1625061645.0,0.0,0.0,0.0
2,3.0,936175801.0,3.0,1978360025.0,1042184224.0,0.0,0.0,0.0
3,4.0,1406156374.0,4.0,3040581973.0,1634425599.0,0.0,0.0,0.0
4,5.0,905818082.0,5.0,2527242225.0,1621424143.0,0.0,0.0,0.0
5,6.0,904635115.0,6.0,2520764894.0,1616129779.0,0.0,0.0,0.0
6,7.0,937023456.0,7.0,1930191637.0,993168181.0,0.0,0.0,0.0
7,8.0,1507112583.0,8.0,3154662082.0,1647549499.0,0.0,0.0,0.0
8,9.0,603529821.0,9.0,2227858991.0,1624329170.0,0.0,0.0,0.0
9,10.0,904402596.0,10.0,2546898191.0,1642495595.0,0.0,0.0,0.0
10,11.0,936359734.0,11.0,4974685001.0,4038325267.0,0.0,0.0,0.0
11,12.0,1193150.0,12.0,1643648461.0,1642455311.0,0.0,0.0,0.0
12,13.0,1370986.0,13.0,1622382478.0,1621011492.0,0.0,0.0,0.0
13,14.0,1305870746.0,14.0,2925738513.0,1619867767.0,0.0,0.0,0.0
14,15.0,937269391.0,15.0,4977598484.0,4040329093.0,0.0,0.0,0.0
15,16.0,1151326.0,16.0,1518559037.0,1517407711.0,0.0,0.0,0.0
16,17.0,1084684.0,17.0,1625111010.0,1624026326.0,0.0,0.0,0.0
17,18.0,1205484682.0,18.0,2850468658.0,1644983976.0,0.0,0.0,0.0
18,19.0,735868706.0,19.0,1759872542.0,1024003836.0,0.0,0.0,0.0
19,20.0,1515304522.0,20.0,3164299967.0,1648995445.0,0.0,0.0,0.0
20,21.0,933956289.0,21.0,2548018648.0,1614062359.0,0.0,0.0,0.0
21,22.0,904309573.0,22.0,2528297846.0,1623988273.0,0.0,0.0,0.0
22,23.0,736383371.0,23.0,1767182057.0,1030798686.0,0.0,0.0,0.0
