,blocksize,Throughput,Overhead,Latency
4,200,35.0443501423818,0.103060570131586,6.27872443904209
8,200,111.99402988998,0.267016842708488,1.96443247191253
16,200,118.431943056801,0.279564738679533,1.85784636113936
4,400,99.8559324351066,0.214042001841256,4.20606230364789
8,400,205.908056962049,0.335978316061646,2.03978564850626
16,400,188.961647964128,0.316752273667304,2.22309473901584
4,600,134.07063447885,0.242361701749915,4.62459458527596
8,600,284.567106665189,0.385090388045299,2.17882582276984
16,600,84.3148632821168,0.123649112271621,7.35559933547655
4,800,135.350720955769,0.21959855861767,6.05833888021429
8,800,341.383908005928,0.43017872621715,2.40204133625063
16,800,110.926660008373,0.149335121259586,7.39385562219409
4,1000,155.99112348442,0.209846520571526,6.53895727855556
8,1000,358.31716506521,0.431228932368234,2.84677328016012
16,1000,254.631235650692,0.325523219855991,4.00656712552015
4,1200,215.26246580792,0.217395325823742,5.66810636075
8,1200,301.233165644214,0.363431196054808,4.05017689308247
16,1200,130.161015526993,0.181989489020805,9.2193503188452
4,1400,261.135117708443,0.291775859762822,5.43782059776087
8,1400,407.528663168687,0.449393046592131,3.48455789621627
16,1400,261.419267333887,0.310964773458347,5.43393250008323
4,1600,191.321782083332,0.213704339706506,8.4675383774
8,1600,401.721301096154,0.43195730581321,4.0327004482032
16,1600,183.397279488837,0.208656563941794,8.83702508420417
4,1800,310.15832890451,0.370814802356009,5.86834111797688
8,1800,459.471173615979,0.496116421568545,3.96114771896222
16,1800,251.066632511151,0.287266069734208,7.25127511670788
4,2000,197.141128957998,0.198948874412451,10.2464742119828
8,2000,385.276495923985,0.434561115061794,5.2431735448542
16,2000,238.647402409258,0.25300855622132,8.46549536859276
