,nodeNum,nodeIndex,blocksize,TotalHeights,Throughput,Overhead,Latency
0,4.0,2.0,200.0,46.0,35.4788056016911,0.14362407532449725,6.2008851839565216
1,4.0,3.0,200.0,47.0,34.60989468307241,0.0624970649386755,6.35656369412766
2,4.0,2.0,400.0,71.0,99.93646992794086,0.22089355079014672,4.202669959253521
3,4.0,3.0,400.0,71.0,99.77539494227237,0.20719045289236526,4.209454648042254
4,4.0,2.0,600.0,64.0,133.26604037756314,0.2367247277773552,4.652348026875
5,4.0,3.0,600.0,65.0,134.87522858013625,0.2479986757224744,4.596841143676923
6,4.0,2.0,800.0,49.0,135.4600723399475,0.2644130740282377,6.053444279448979
7,4.0,3.0,800.0,49.0,135.24136957159016,0.1747840432071022,6.063233480979592
8,4.0,2.0,1000.0,45.0,155.3127206097698,0.22950837365561078,6.567395098066666
9,4.0,3.0,1000.0,45.0,156.66952635906972,0.19018466748744206,6.510519459044444
10,4.0,2.0,1200.0,48.0,213.03579309706438,0.2134625248068225,5.726737194083333
11,4.0,3.0,1200.0,48.0,217.48913851877467,0.22132812684066222,5.6094755274166666
12,4.0,2.0,1400.0,46.0,260.6018444918658,0.293976815096447,5.448925362630435
13,4.0,3.0,1400.0,46.0,261.6683909250205,0.28957490442919764,5.426715832891304
14,4.0,2.0,1600.0,35.0,192.06629472322214,0.21293163229316583,8.434587663257142
15,4.0,3.0,1600.0,35.0,190.5772694434417,0.21447704711984567,8.500489091542857
16,4.0,2.0,1800.0,37.0,307.6942986152234,0.3930536619960537,5.914961727243243
17,4.0,3.0,1800.0,38.0,312.6223591937976,0.3485759427159637,5.821720508710526
18,4.0,2.0,2000.0,29.0,197.3106701123883,0.18988656134881066,10.237662255413793
19,4.0,3.0,2000.0,29.0,196.97158780360678,0.20801118747609204,10.255286168551724
20,8.0,2.0,200.0,152.0,112.56521043241669,0.24893519627492036,1.9544226777960527
21,8.0,3.0,200.0,152.0,112.73115214607873,0.34855041800540026,1.9515457423421052
22,8.0,5.0,200.0,152.0,111.57914317356938,0.25915930639166684,1.9716946531644737
23,8.0,6.0,200.0,152.0,111.98773465406377,0.26269594681002845,1.9645008507368422
24,8.0,7.0,200.0,152.0,111.84748988535385,0.23793555418712822,1.9669641243223683
25,8.0,8.0,200.0,150.0,111.25344904839864,0.24482463458178177,1.9774667831133332
26,8.0,2.0,400.0,146.0,206.54929145475361,0.2975507660094986,2.0334129303561643
27,8.0,3.0,400.0,148.0,207.55599995010385,0.43411607822276455,2.023550271256757
28,8.0,5.0,400.0,146.0,204.71908216216818,0.31200417285998894,2.051591847541096
29,8.0,6.0,400.0,146.0,205.5536728033236,0.3602868290649882,2.0432619581643836
30,8.0,7.0,400.0,146.0,205.3160364754653,0.28300252219592026,2.0456268648561644
31,8.0,8.0,400.0,146.0,205.7542589264794,0.3289095280167147,2.0412700188630137
32,8.0,2.0,600.0,137.0,285.34826351308885,0.3670518045843948,2.17278350450365
33,8.0,3.0,600.0,137.0,285.64797744380996,0.426969453308112,2.170503728218978
34,8.0,5.0,600.0,136.0,281.9155265230301,0.37872825465577287,2.1992403456691174
35,8.0,6.0,600.0,138.0,285.8108834612674,0.4011999242795414,2.169266588072464
36,8.0,7.0,600.0,136.0,282.4911268924538,0.36608552599736705,2.1947592011838237
37,8.0,8.0,600.0,138.0,286.18886215748273,0.3705073654466043,2.1664015689710143
38,8.0,2.0,800.0,122.0,342.6529329217229,0.4212544966307567,2.3930920217377047
39,8.0,3.0,800.0,122.0,340.1195564753699,0.4603829493834074,2.41091693902459
40,8.0,5.0,800.0,122.0,339.6114894827842,0.4097735638594992,2.414523729008197
41,8.0,6.0,800.0,122.0,341.07218723544906,0.42595086069289917,2.404183133918033
42,8.0,7.0,800.0,122.0,340.55095472442355,0.42964247111728404,2.4078628722786886
43,8.0,8.0,800.0,123.0,344.2963271958171,0.4340680156190533,2.3816693215365854
44,8.0,2.0,1000.0,105.0,360.13389660975196,0.44430872284185796,2.8322799092285713
45,8.0,3.0,1000.0,105.0,360.1098010407008,0.4274680397718422,2.8324694219714286
46,8.0,5.0,1000.0,104.0,355.3461073921935,0.4226677146125927,2.8704408991153847
47,8.0,6.0,1000.0,104.0,356.696434017725,0.4180705058467553,2.859574424423077
48,8.0,7.0,1000.0,104.0,355.8404846099653,0.41659312847437213,2.866452930778846
49,8.0,8.0,1000.0,106.0,361.7762667209252,0.45826548266198264,2.819422095443396
50,8.0,2.0,1200.0,73.0,299.60872869963833,0.4033268644691836,4.071977493095891
51,8.0,3.0,1200.0,74.0,304.56348827390525,0.3566457431458912,4.005732948864865
52,8.0,5.0,1200.0,73.0,299.23078367446067,0.31319723096771135,4.077120625821918
53,8.0,6.0,1200.0,74.0,302.0567521879535,0.35772991555636174,4.0389760902972975
54,8.0,7.0,1200.0,73.0,299.79414580681305,0.3714623255859523,4.06945905069863
55,8.0,8.0,1200.0,74.0,302.1450952225112,0.37822509660374964,4.037795149716216
56,8.0,2.0,1400.0,84.0,409.5839904427637,0.4369202273714265,3.4669323829404766
57,8.0,3.0,1400.0,84.0,410.39879976902415,0.44545830063496694,3.460049105404762
58,8.0,5.0,1400.0,84.0,402.3566946108039,0.45571409427084913,3.5292068431309525
59,8.0,6.0,1400.0,84.0,407.7170874536565,0.4360044555980149,3.482807181
60,8.0,7.0,1400.0,84.0,406.9914505542729,0.47347375476541426,3.4890167792619047
61,8.0,8.0,1400.0,84.0,408.1239561816004,0.44878744691211386,3.4793350855595238
62,8.0,2.0,1600.0,73.0,400.4366860202916,0.45620290852642853,4.045583375739726
63,8.0,3.0,1600.0,73.0,404.5267947282675,0.46799672547334936,4.004679099410959
64,8.0,5.0,1600.0,73.0,400.1353154385255,0.4206687988660032,4.04863039450685
65,8.0,6.0,1600.0,73.0,402.0557533394547,0.4098858804533251,4.029291924178082
66,8.0,7.0,1600.0,73.0,400.9514500404385,0.43225146471861636,4.040389428287671
67,8.0,8.0,1600.0,73.0,402.2218070099441,0.4047380568415384,4.027628467095891
68,8.0,2.0,1800.0,75.0,460.75742912455064,0.4937790832820686,3.9500176990266667
69,8.0,3.0,1800.0,75.0,463.0028921162985,0.5291403276290447,3.9308609751466665
70,8.0,5.0,1800.0,75.0,457.00212394229015,0.4813170377004231,3.9824760206799996
71,8.0,6.0,1800.0,75.0,458.2638919076256,0.47852528419393037,3.9715108088133335
72,8.0,7.0,1800.0,75.0,458.2574500296607,0.5129403300381721,3.9715666376666663
73,8.0,8.0,1800.0,75.0,459.5432545754505,0.48099646656762984,3.96045417244
74,8.0,2.0,2000.0,39.0,384.6070641255877,0.6137870759572137,5.252113620410256
75,8.0,3.0,2000.0,39.0,386.6955088495429,0.43775500621004254,5.223748281974358
76,8.0,5.0,2000.0,39.0,381.0114256747419,0.3962256782564371,5.3016782801794875
77,8.0,6.0,2000.0,37.0,388.473362524613,0.396776166866011,5.199841726270271
78,8.0,7.0,2000.0,38.0,385.93718763940274,0.39015027984252154,5.234012333342105
79,8.0,8.0,2000.0,39.0,384.9344267300203,0.3726724832385376,5.247647026948718
80,16.0,2.0,200.0,159.0,120.77212265137081,0.3785430955255627,1.8216124314968554
81,16.0,3.0,200.0,160.0,121.07352725356095,0.4599093008298743,1.8170776468687502
