,nodeNum,nodeIndex,blocksize,dura,TotalHeights,Throughput,Overhead,Latency
0,4.0,1.0,1200.0,5.0,234.0,953.1447424750856,0.7743194048042492,1.2799734873760684
1,4.0,2.0,1200.0,5.0,233.0,953.2943071082456,0.7664997570971597,1.2797726692618028
2,4.0,3.0,1200.0,5.0,234.0,953.18091459744,0.7196506157977565,1.2799249138504274
3,4.0,4.0,1200.0,5.0,233.0,951.0332580002904,0.6815402867464668,1.2828152850987125
4,4.0,1.0,1200.0,10.0,238.0,972.6253716480012,0.7186858561502053,1.2543370094621848
5,4.0,2.0,1200.0,10.0,238.0,974.822543630402,0.7493083987365683,1.251509834247899
6,4.0,3.0,1200.0,10.0,237.0,968.246976870096,0.749765914099002,1.2600090980337553
7,4.0,4.0,1200.0,10.0,237.0,969.995240267541,0.6954476274368203,1.2577381304092827
8,4.0,1.0,1200.0,25.0,238.0,969.815090840647,0.817461950654372,1.2579717634033614
9,4.0,2.0,1200.0,25.0,237.0,967.7885309492539,0.6960408836281707,1.2606059701940928
10,4.0,3.0,1200.0,25.0,237.0,966.1705258679511,0.7511535053077234,1.2627170539113926
11,4.0,4.0,1200.0,25.0,235.0,957.9013399573586,0.7170805753626699,1.273617594119149
12,4.0,1.0,1200.0,35.0,234.0,955.4012362971936,0.765677752385671,1.276950409576923
13,4.0,2.0,1200.0,35.0,234.0,957.7279778810421,0.7561828633550108,1.2738481366068375
14,4.0,3.0,1200.0,35.0,234.0,954.603406199039,0.6898102593838885,1.2780176480384615
15,4.0,4.0,1200.0,35.0,235.0,957.3664258105307,0.7074414366520918,1.274329208868085
16,4.0,1.0,1200.0,50.0,241.0,982.698320140329,0.8087731249492127,1.241479684045643
17,4.0,2.0,1200.0,50.0,241.0,980.9467423448631,0.7172869198187128,1.243696469273859
18,4.0,3.0,1200.0,50.0,240.0,977.545400712624,0.7296987048501811,1.2480238760375
19,4.0,4.0,1200.0,50.0,240.0,977.8986739999958,0.6909423403933871,1.2475730179791666
20,8.0,1.0,1200.0,5.0,153.0,626.0265778055937,0.8640911514853825,1.9487990498366012
21,8.0,2.0,1200.0,5.0,153.0,622.5222319954484,0.8609390769364778,1.959769366130719
22,8.0,3.0,1200.0,5.0,152.0,621.795446813799,0.8309082544359617,1.9620600412105262
23,8.0,4.0,1200.0,5.0,152.0,622.2720773402742,0.8477645411311099,1.9605571974473683
24,8.0,5.0,1200.0,5.0,152.0,621.5128568475783,0.8533284184733857,1.96295215225
25,8.0,6.0,1200.0,5.0,152.0,622.7830546247679,0.8453160637613509,1.9589486113026315
26,8.0,7.0,1200.0,5.0,152.0,622.9027875477863,0.8267150851571535,1.9585720667631579
27,8.0,8.0,1200.0,5.0,152.0,622.9735844114433,0.8203063658264538,1.9583494878881578
28,8.0,1.0,1200.0,10.0,160.0,654.0654930289712,0.8720100871009416,1.8652566340875
29,8.0,2.0,1200.0,10.0,161.0,654.784543198698,0.8567693641210149,1.863208306720497
30,8.0,3.0,1200.0,10.0,160.0,653.5950544278368,0.8654838038432318,1.86659919125
31,8.0,4.0,1200.0,10.0,160.0,653.7173541988176,0.8299743946391261,1.866249981225
