,Height,ConTime,Txs,TotalTime,NonConTime,Throughput
0,1.0,1.409323,1598.0,1808.016485,1806.607162,735.4674779128336
1,2.0,317.167539,1599.0,2314.312763,1997.1452239999999,0.0
2,3.0,1.146281,1599.0,1861.326644,1860.180363,0.0
3,4.0,306.461132,1600.0,2238.093572,1931.6324400000003,0.0
4,5.0,406.343095,1601.0,2238.435915,1832.09282,0.0
5,6.0,302.776066,1602.0,1482.130007,1179.3539409999998,0.0
6,7.0,803.05793,1603.0,2754.371539,1951.3136090000003,0.0
7,8.0,202.060041,1603.0,2119.124855,1917.064814,0.0
8,9.0,101.622645,1604.0,1780.45999,1678.8373450000001,0.0
9,10.0,406.78049,1605.0,2140.268021,1733.4875309999998,0.0
10,11.0,703.221389,1606.0,2590.956695,1887.7353059999998,0.0
11,12.0,405.550272,1607.0,2115.773462,1710.2231900000002,0.0
12,13.0,502.29164,1607.0,2483.2597,1980.9680600000002,0.0
13,14.0,254.459599,1608.0,1425.735829,1171.27623,0.0
14,15.0,1204.019486,1609.0,3134.570464,1930.550978,0.0
15,16.0,201.474594,1610.0,2355.72299,2154.2483960000004,0.0
16,17.0,201.889892,1610.0,2152.021728,1950.1318360000002,0.0
17,18.0,308.618613,1611.0,2135.779694,1827.1610809999997,0.0
18,19.0,603.613393,1612.0,2875.690673,2272.07728,0.0
19,20.0,1.158377,1613.0,1858.588108,1857.429731,0.0
20,21.0,406.179538,1614.0,2190.41133,1784.231792,0.0
21,22.0,268.73635,1614.0,4545.655411,4276.919061,0.0
22,23.0,4.798183,1616.0,1138.244696,1133.4465129999999,0.0
23,24.0,4.466795,1617.0,1489.321775,1484.8549799999998,0.0
24,25.0,1.211884,1618.0,1857.793601,1856.581717,0.0
25,26.0,405.021607,1618.0,1830.853405,1425.8317980000002,0.0
26,27.0,201.646302,1619.0,2359.551643,2157.9053409999997,0.0
27,28.0,402.351421,1620.0,2080.024828,1677.673407,0.0
28,29.0,149.804873,1621.0,2500.545567,2350.740694,0.0
29,30.0,703.882486,1621.0,1602.887937,899.005451,0.0
30,31.0,301.687747,1622.0,2465.378956,2163.691209,0.0
31,32.0,101.529571,1623.0,2244.872712,2143.343141,0.0
32,33.0,402.021961,1624.0,1961.662233,1559.640272,0.0
33,34.0,301.78837,1625.0,2508.524736,2206.736366,0.0
34,35.0,201.735829,1625.0,2286.776367,2085.0405379999997,0.0
35,36.0,503.272284,1626.0,1975.052901,1471.780617,0.0
