,nodeNum,nodeIndex,blocksize,TotalHeights,Throughput,Overhead,Latency
0,4.0,2.0,200.0,65.0,47.90778868046771,0.1247432212654684,4.592155181015385
1,4.0,3.0,200.0,65.0,49.129033168595505,0.5778442729157093,4.4780038566
2,4.0,4.0,200.0,65.0,47.982071867214906,0.10901402187911616,4.5850458606461535
3,4.0,2.0,400.0,144.0,203.4002754115338,0.5100213043332811,2.0648939592152775
4,4.0,3.0,400.0,146.0,205.17448930283,0.42808356547379556,2.0470381158356163
5,4.0,4.0,400.0,147.0,206.34524404540278,0.6900365530078693,2.0354236994557824
6,4.0,2.0,600.0,130.0,388.5432066024848,0.5718780985250697,1.5957041313923077
7,4.0,3.0,600.0,140.0,306.36168339921323,0.5112876442370652,2.0237517731357144
8,4.0,4.0,600.0,140.0,303.67422059667905,0.518365674299412,2.0416616161285717
9,4.0,2.0,800.0,154.0,423.1222935031688,0.5715604475562682,1.937973991422078
10,4.0,3.0,800.0,154.0,423.09729958774034,0.5762038729110041,1.9380884746818183
11,4.0,4.0,800.0,153.0,420.34481148410674,0.5676007828277867,1.9507794020457516
12,4.0,2.0,1000.0,126.0,436.07471777887025,0.5848545193542074,2.3390486960476187
13,4.0,3.0,1000.0,126.0,439.88827837985536,0.5520128288628685,2.3187705836507937
14,4.0,4.0,1000.0,126.0,433.46312649253935,0.6156349650285409,2.35314133465873
15,4.0,2.0,1200.0,115.0,470.65559172890323,0.652212129696591,2.5921289822956526
16,4.0,3.0,1200.0,115.0,470.6504186227557,0.49710431166399244,2.5921574734173913
17,4.0,4.0,1200.0,114.0,470.90026811189176,0.592796951645796,2.5907821307719296
18,4.0,2.0,1400.0,102.0,485.8418647624581,0.5626721143508767,2.922761711147059
19,4.0,3.0,1400.0,103.0,492.0927302356948,0.5914351436501686,2.885634988592233
20,4.0,4.0,1400.0,103.0,489.03425766669017,0.5240459466786369,2.9036820585436893
21,4.0,2.0,1600.0,86.0,467.7473587403401,0.5692893271217179,3.4634081192093022
22,4.0,3.0,1600.0,86.0,466.4878342836084,0.536648543381697,3.472759375360465
23,4.0,4.0,1600.0,86.0,467.18181919726374,0.6270611238958861,3.4676006929883725
24,4.0,2.0,1800.0,87.0,531.6231315416301,0.6135166569283473,3.4234778210689654
25,4.0,3.0,1800.0,87.0,532.8437469164081,0.6650596946905464,3.415635466367816
26,4.0,4.0,1800.0,87.0,535.2141839080806,0.6324997401718173,3.4005077868275864
27,4.0,2.0,2000.0,75.0,511.25790180718155,0.6118375579289268,3.9510391778000002
28,4.0,3.0,2000.0,75.0,510.97145896895603,0.6139186319724301,3.953254070346667
29,4.0,4.0,2000.0,75.0,509.54489275701724,0.5662915939642593,3.9643219443733333
30,8.0,2.0,200.0,293.0,216.82775884623314,0.5662927631316611,1.0146302354027303
31,8.0,3.0,200.0,294.0,217.14624644845298,0.563696290541329,1.013142080962585
32,8.0,4.0,200.0,294.0,217.94163854599418,0.5242712159553388,1.0094445534489795
33,8.0,5.0,200.0,292.0,214.81234529908522,0.5753485954675258,1.024149704681507
34,8.0,6.0,200.0,293.0,215.93243758980915,0.5816931838045792,1.0188371995221843
35,8.0,7.0,200.0,292.0,214.92895580447188,0.47715429280787247,1.0235940484452055
36,8.0,8.0,200.0,294.0,217.2891823509918,0.5685344913943661,1.0124756217482993
37,8.0,2.0,400.0,268.0,380.1420209848082,0.5746693520392961,1.1048502317947761
38,8.0,3.0,400.0,268.0,378.11176967235093,0.6046729379959479,1.1107826671567163
39,8.0,4.0,400.0,267.0,379.77762705019677,0.5855696097293007,1.1059103277415732
40,8.0,5.0,400.0,268.0,375.64868491299217,0.5681939904550275,1.1180659399813433
41,8.0,6.0,400.0,269.0,378.9097615917352,0.5859589986689443,1.1084433355204462
42,8.0,7.0,400.0,267.0,375.4034871390533,0.5616874392836914,1.118796213644195
43,8.0,8.0,400.0,267.0,378.31630163631183,0.5696991616808939,1.110182136438202
44,8.0,2.0,600.0,224.0,466.3503322054951,0.5956025341167759,1.329472624299107
45,8.0,3.0,600.0,224.0,467.22095640699905,0.6454015251384175,1.32699527171875
46,8.0,4.0,600.0,225.0,469.9329622664413,0.6350714822206077,1.3193371178088888
47,8.0,5.0,600.0,221.0,458.5561952354381,0.5881885396877031,1.3520698366787332
