,blocksize,Throughput,Overhead,Latency
4.0,200.0,48.339631238759374,0.2705338386867646,4.551734966087179
8.0,200.0,216.41122355500542,0.550998690443239,1.0166104920302128
16.0,200.0,151.79718170118056,0.354215844455297,1.468295188408475
4.0,400.0,204.97333625325555,0.542713807604982,2.049118591502225
8.0,400.0,378.04423614106406,0.5786359271218717,1.1110044074681789
16.0,400.0,341.2207054921585,0.5010627793874981,1.2309809267483085
4.0,600.0,332.85970353279237,0.5338438056871823,1.887039173552198
8.0,600.0,464.29434701980426,0.6088753647123574,1.3354561333459298
16.0,600.0,279.1984731661497,0.41130202284123685,2.2211188019720267
4.0,800.0,422.1881348583386,0.5717883677650196,1.9422806227165494
8.0,800.0,515.9289600639867,0.609905821152508,1.5894133613499222
16.0,800.0,423.01376805723544,0.516963872930733,1.9388789859812556
4.0,1000.0,436.4753742170883,0.584167437748539,2.3369868714523805
8.0,1000.0,543.5694104136238,0.6170793348542671,1.8765523658886363
16.0,1000.0,485.76863263228256,0.5706298876487687,2.1001314598283853
4.0,1200.0,470.7354261545169,0.5807044643354599,2.5916895288283244
8.0,1200.0,535.97561425702,0.6029583172644043,2.276309004429696
16.0,1200.0,259.121790082789,0.3492147938409628,4.7132778001395215
4.0,1400.0,488.98961755494776,0.559384401559894,2.904026252760994
8.0,1400.0,598.729215875327,0.64669024325252,2.371747898688762
16.0,1400.0,505.86008467720745,0.5648905428777697,2.8076078704392566
4.0,1600.0,467.1390040737374,0.5776663314664336,3.4679227291860464
8.0,1600.0,497.26855754515515,0.557907308680394,3.257882506611111
16.0,1600.0,298.81906069507687,0.3657463167511173,5.423628370622411
4.0,1800.0,533.2270207887062,0.637025363930237,3.4132070247547888
8.0,1800.0,603.6621192553538,0.619575713182075,3.015011511896575
16.0,1800.0,498.7529901643412,0.5350409124870275,3.6498825389445892
4.0,2000.0,510.591417844385,0.5973492612885387,3.9562050641733335
8.0,2000.0,550.01053992201,0.570240555113008,3.6730481882488775
16.0,2000.0,216.8946237681582,0.29215049997014625,9.318734974321236
