,Height,ConTime,Txs,TotalTime,NonConTime,Throughput
0,1.0,301.640421,1798.0,1541.601922,1239.961501,1150.9591564471082
1,2.0,301.597344,1799.0,1582.444309,1280.846965,0.0
2,3.0,404.674744,1799.0,1697.324513,1292.649769,0.0
3,4.0,224.168582,1800.0,1044.557605,820.389023,0.0
4,5.0,708.90517,1801.0,2042.630272,1333.725102,0.0
5,6.0,302.633693,1802.0,1585.175278,1282.541585,0.0
6,7.0,203.383894,1803.0,1505.893206,1302.509312,0.0
7,8.0,125.616445,1804.0,974.006,848.389555,0.0
8,9.0,702.424904,1805.0,1961.020065,1258.595161,0.0
9,10.0,205.084978,1806.0,1471.644681,1266.559703,0.0
10,11.0,302.386594,1807.0,1545.195459,1242.808865,0.0
11,12.0,132.618925,1807.0,980.164951,847.546026,0.0
12,13.0,802.834274,1808.0,2057.52523,1254.6909560000001,0.0
13,14.0,907.155754,1809.0,2220.648689,1313.4929350000002,0.0
14,15.0,301.813348,1810.0,1505.554684,1203.741336,0.0
15,16.0,136.920949,1811.0,949.563619,812.64267,0.0
16,17.0,803.119305,1812.0,2250.754997,1447.6356919999998,0.0
17,18.0,102.104841,1813.0,1382.544291,1280.4394499999999,0.0
18,19.0,301.581671,1814.0,1545.301277,1243.719606,0.0
19,20.0,134.453792,1814.0,1017.076836,882.6230439999999,0.0
20,21.0,803.216908,1815.0,2054.93568,1251.7187720000002,0.0
21,22.0,201.525563,1816.0,1462.253571,1260.728008,0.0
22,23.0,402.496104,1817.0,1659.587007,1257.090903,0.0
23,24.0,233.235144,1818.0,1014.596404,781.36126,0.0
24,25.0,702.775902,1819.0,2094.742321,1391.9664190000003,0.0
25,26.0,201.300282,1820.0,1578.706909,1377.406627,0.0
26,27.0,502.661429,1821.0,1720.035484,1217.374055,0.0
27,28.0,227.663273,1822.0,1060.263513,832.6002400000001,0.0
28,29.0,602.410508,1822.0,1896.371525,1293.961017,0.0
29,30.0,202.619099,1823.0,1526.320749,1323.70165,0.0
30,31.0,201.631517,1824.0,1454.74107,1253.109553,0.0
31,32.0,130.971932,1825.0,895.232626,764.260694,0.0
32,33.0,802.936209,1826.0,2201.680725,1398.7445160000002,0.0
33,34.0,301.573087,1827.0,1637.468859,1335.895772,0.0
34,35.0,603.16955,1828.0,1857.517167,1254.347617,0.0
35,36.0,626.711184,1829.0,1441.385284,814.6741,0.0
36,37.0,903.129387,1830.0,2294.330732,1391.201345,0.0
37,38.0,414.298731,1830.0,1721.059549,1306.7608180000002,0.0
38,39.0,302.043378,1831.0,1600.177501,1298.1341229999998,0.0
39,40.0,228.337473,1832.0,1068.069917,839.732444,0.0
40,41.0,502.026158,1833.0,1930.477972,1428.451814,0.0
41,42.0,103.390455,1834.0,1407.134417,1303.743962,0.0
42,43.0,401.840974,1835.0,1731.69107,1329.8500960000001,0.0
43,44.0,226.735992,1836.0,260.418058,33.68206599999996,0.0
44,45.0,703.93167,31.0,716.305908,12.374237999999991,0.0
45,46.0,201.491234,21.0,349.818108,148.326874,0.0
