,blocksize,Throughput,Overhead,Latency
4.0,200.0,210.34364746089307,0.8175530517025622,1.0459116081117827
8.0,200.0,218.9675874048579,0.8191776424594751,1.004716882276469
4.0,400.0,405.16680865298514,0.7984489570616439,1.0366136788484057
8.0,400.0,422.59836173668316,0.7898367095280824,0.9938570338952911
16.0,400.0,334.37479692451143,0.7915402287098878,1.2560872604524496
4.0,600.0,600.4921864077733,0.7727204022900134,1.0324953252825235
8.0,600.0,571.8536865811187,0.7747398314175373,1.0842039343394052
16.0,600.0,343.7223601460378,0.8392487364332668,1.8038051665988837
4.0,800.0,797.2006745560359,0.7272944075838008,1.0286018526124545
8.0,800.0,559.3662208388414,0.7810162646036322,1.4659512453200745
16.0,800.0,345.8422887835687,0.8485356212579965,2.37113722101491
4.0,1000.0,244.07142404312054,0.3921814659295879,4.367859499767795
8.0,1000.0,594.8262253366837,0.8222115842119262,1.7148003450887153
16.0,1000.0,350.9984518871656,0.879145352818306,2.9060401573531554
4.0,1200.0,943.9458263636983,0.7408565817316948,1.2924530716147187
8.0,1200.0,630.8851615212798,0.8424948597243971,1.9338325749557446
16.0,1200.0,135.47340318704758,0.22139668659925346,9.005970946697332
4.0,1400.0,967.2540538020761,0.7511286125162379,1.4680851871259526
8.0,1400.0,638.7644366917596,0.85351317736847,2.2230929926608693
16.0,1400.0,355.9264008564144,0.9014349404679802,3.989755141382829
4.0,1600.0,1009.2806809076204,0.7604203529758404,1.6051091307179648
8.0,1600.0,645.1680362551101,0.8620398453153901,2.5109911559275213
16.0,1600.0,361.44272215705087,0.8929030285285364,4.482147882316857
4.0,1800.0,1027.561772771087,0.7746251782653251,1.771185963286542
8.0,1800.0,648.8535822570681,0.8641634160372498,2.8049720242975993
16.0,1800.0,356.6421411932957,0.9128357046832597,5.103319934766766
4.0,2000.0,1047.2039912573914,0.77923202490081,1.9289471279110595
8.0,2000.0,650.2541559056057,0.8715977741696331,3.106479855012486
