,nodeNum,nodeIndex,blocksize,TotalHeights,Throughput,Overhead,Latency
0,4.0,1.0,200.0,287.0,210.44207186260564,0.8237059822263907,1.0454183331916376
1,4.0,2.0,200.0,284.0,209.64820014312886,0.7739016096726594,1.0493770032359155
2,4.0,3.0,200.0,286.0,210.5394920119413,0.8322981197498387,1.044934600618881
3,4.0,4.0,200.0,287.0,210.74482582589636,0.8403064951613597,1.043916495400697
4,4.0,1.0,400.0,288.0,404.46976843022077,0.8022392146123697,1.0383965200416667
5,4.0,2.0,400.0,289.0,404.75781613702486,0.7840369092195885,1.0376575405224913
6,4.0,3.0,400.0,289.0,405.00721251188463,0.8121008757587427,1.0370185691141869
7,4.0,4.0,400.0,288.0,406.4324375328104,0.7954188286558749,1.0333820857152778
8,4.0,1.0,600.0,289.0,597.5921105573073,0.7718935786514102,1.0374969633079585
9,4.0,2.0,600.0,290.0,600.8672068015042,0.785876071733302,1.0318419660482758
10,4.0,3.0,600.0,291.0,602.3616301328603,0.757618339455391,1.0292820275807562
11,4.0,4.0,600.0,290.0,601.1477981394214,0.7754936193199501,1.0313603441931034
12,4.0,1.0,800.0,291.0,796.7693698207521,0.7626276226050585,1.029156028154639
13,4.0,2.0,800.0,291.0,796.634176097035,0.7206028305020419,1.0293306822680413
14,4.0,3.0,800.0,290.0,796.0432059208547,0.747971651519067,1.030094841462069
15,4.0,4.0,800.0,292.0,799.3559463855015,0.6779755257090359,1.0258258585650686
16,4.0,1.0,1000.0,22.0,166.2050988618873,0.9402736718522331,6.136995838181818
17,4.0,2.0,1000.0,54.0,269.5073064045745,0.2195584104497404,3.7846840355
18,4.0,3.0,1000.0,53.0,265.65659381869415,0.188206994735326,3.839543319207547
19,4.0,4.0,1000.0,55.0,274.9166970873263,0.2206867866810519,3.710214806181818
20,4.0,1.0,1200.0,231.0,943.6110151485899,0.7676019957920012,1.2929056363419915
21,4.0,2.0,1200.0,231.0,943.7346667162102,0.787756767101038,1.292736235116883
22,4.0,3.0,1200.0,231.0,947.0744978453766,0.6899897292046483,1.2881774377575756
23,4.0,4.0,1200.0,231.0,941.3631257446164,0.7180778348290915,1.2959929772424243
24,4.0,1.0,1400.0,205.0,971.9770040919691,0.7828176406266044,1.4609399132097562
25,4.0,2.0,1400.0,203.0,965.3301000329822,0.7125051119309371,1.4709994021231527
26,4.0,3.0,1400.0,203.0,966.0525543858479,0.7649417560370831,1.4698993274778325
27,4.0,4.0,1400.0,202.0,965.656556697505,0.744249941470327,1.4705021056930692
28,4.0,1.0,1600.0,187.0,1011.2188572299934,0.7982885461906603,1.6020270868342248
29,4.0,2.0,1600.0,186.0,1006.8854747234251,0.7454713318519449,1.608921809548387
30,4.0,3.0,1600.0,186.0,1011.0216778754508,0.7689904068220392,1.6023395298548386
31,4.0,4.0,1600.0,186.0,1007.9967138016123,0.7289311270387178,1.6071480966344087
32,4.0,1.0,1800.0,168.0,1028.2097843662696,0.7732832163669072,1.7700667973333333
33,4.0,2.0,1800.0,169.0,1029.4065964537401,0.7882516861049456,1.7680088764437871
34,4.0,3.0,1800.0,168.0,1026.3743936532017,0.7643389151739652,1.773232079107143
35,4.0,4.0,1800.0,168.0,1026.256316611136,0.7726268954154821,1.7734361002619048
36,4.0,1.0,2000.0,155.0,1046.6558642707114,0.7633931556446194,1.929956224348387
37,4.0,2.0,2000.0,155.0,1046.2957820857393,0.8078476860481616,1.9306204178451611
38,4.0,3.0,2000.0,155.0,1048.3004714174438,0.763998736568491,1.9269284475935482
39,4.0,4.0,2000.0,154.0,1047.5638472556718,0.781688521341968,1.928283421857143
40,8.0,1.0,200.0,299.0,219.0419102815088,0.8136461885428673,1.004374001839465
41,8.0,2.0,200.0,297.0,218.74171770110127,0.8122182077895359,1.0057523654478115
42,8.0,3.0,200.0,298.0,218.89275138516214,0.8536284540299319,1.0050584069496644
43,8.0,4.0,200.0,299.0,218.93912105331904,0.817274780284896,1.00484554309699
44,8.0,5.0,200.0,297.0,218.32549200194234,0.80499420661131,1.0076697777373738
45,8.0,6.0,200.0,298.0,219.19906393856567,0.824717586078559,1.0036539209932887
46,8.0,7.0,200.0,299.0,219.27174490599185,0.8054338678587097,1.0033212445785953
47,8.0,8.0,200.0,299.0,219.32889797127214,0.8215078484799908,1.003059797568562
48,8.0,1.0,400.0,301.0,420.8466773426155,0.789783096247942,0.9979881572358804
49,8.0,2.0,400.0,302.0,422.62473967865895,0.7974778213332798,0.993789432013245
50,8.0,3.0,400.0,302.0,422.6898795532374,0.7942943901447485,0.9936362811523178
51,8.0,4.0,400.0,302.0,422.82260734245676,0.7722760522095903,0.993324369857616
52,8.0,5.0,400.0,301.0,421.1501956823461,0.7921562679052071,0.9972689180863787
53,8.0,6.0,400.0,301.0,423.4074012500858,0.776801455537143,0.9919524287009966
54,8.0,7.0,400.0,302.0,423.52996630494283,0.8074079677400955,0.9916653682483444
55,8.0,8.0,400.0,302.0,423.71542673912177,0.7884966251066527,0.9912313158675496
56,8.0,1.0,600.0,276.0,570.974509443083,0.8005516419465246,1.0858628358115943
57,8.0,2.0,600.0,276.0,570.8738188720713,0.7766326125516217,1.0860543600072465
58,8.0,3.0,600.0,275.0,567.8744527468547,0.7714323954841927,1.0917906185090909
