,Height,ConTime,Txs,TotalTime,NonConTime,Throughput,Overhead,Latency
0,1.0,406216767.0,0.0,2401.800566,0.0,452.7090329181622,0.0,2.694887690081818
1,2.0,404685610.0,0.0,2523.233805,0.0,0.0,0.0,0.0
2,3.0,202072172.0,0.0,2594.46594,0.0,0.0,0.0,0.0
3,4.0,102473771.0,0.0,2354.144787,0.0,0.0,0.0,0.0
4,5.0,102801423.0,0.0,2162.661661,0.0,0.0,0.0,0.0
5,6.0,351851392.0,0.0,4817.227354,0.0,0.0,0.0,0.0
6,7.0,1670715.0,0.0,885.967731,0.0,0.0,0.0,0.0
7,8.0,1352604.0,0.0,1724.448149,0.0,0.0,0.0,0.0
8,9.0,303626477.0,0.0,2159.026561,0.0,0.0,0.0,0.0
9,10.0,1977186.0,0.0,2681.786925,0.0,0.0,0.0,0.0
10,11.0,604330280.0,0.0,1893.981644,0.0,0.0,0.0,0.0
11,12.0,303592202.0,0.0,2788.984172,0.0,0.0,0.0,0.0
12,13.0,204524887.0,0.0,2376.135523,0.0,0.0,0.0,0.0
13,14.0,202153220.0,0.0,2470.777933,0.0,0.0,0.0,0.0
14,15.0,302162780.0,0.0,2423.072679,0.0,0.0,0.0,0.0
15,16.0,307622243.0,0.0,2520.588568,0.0,0.0,0.0,0.0
16,17.0,155607365.0,0.0,2613.369966,0.0,0.0,0.0,0.0
17,18.0,6774942.0,0.0,4561.605491,0.0,0.0,0.0,0.0
18,19.0,35134626.0,0.0,675.410066,0.0,0.0,0.0,0.0
19,20.0,13442538.0,0.0,2323.123898,0.0,0.0,0.0,0.0
20,21.0,3048759.0,0.0,2371.576371,0.0,0.0,0.0,0.0
21,22.0,101544741.0,0.0,2355.680354,0.0,0.0,0.0,0.0
22,23.0,205198609.0,0.0,2294.613951,0.0,0.0,0.0,0.0
23,24.0,201857424.0,0.0,2311.79425,0.0,0.0,0.0,0.0
24,25.0,502536344.0,0.0,2472.297039,0.0,0.0,0.0,0.0
25,26.0,402533534.0,0.0,2443.268245,0.0,0.0,0.0,0.0
26,27.0,402973965.0,0.0,2597.011793,0.0,0.0,0.0,0.0
27,28.0,581082635.0,0.0,2354.947157,0.0,0.0,0.0,0.0
28,29.0,1104257968.0,0.0,2336.113039,0.0,0.0,0.0,0.0
29,30.0,306577731.0,0.0,1908.573917,0.0,0.0,0.0,0.0
30,31.0,102376531.0,0.0,3367.802475,0.0,0.0,0.0,0.0
31,32.0,302065719.0,0.0,2551.029604,0.0,0.0,0.0,0.0
32,33.0,101508892.0,0.0,2404.682912,0.0,0.0,0.0,0.0
33,34.0,1539097.0,0.0,2697.41686,0.0,0.0,0.0,0.0
34,35.0,906414494.0,0.0,2340.064847,0.0,0.0,0.0,0.0
35,36.0,205925724.0,0.0,1666.983092,0.0,0.0,0.0,0.0
36,37.0,208770861.0,0.0,3048.652554,0.0,0.0,0.0,0.0
37,38.0,102297126.0,0.0,2647.025093,0.0,0.0,0.0,0.0
38,39.0,413527015.0,0.0,2607.091952,0.0,0.0,0.0,0.0
39,40.0,595568153.0,0.0,2008.973983,0.0,0.0,0.0,0.0
